Open,High,Low,Close,Volume
169.00999450683594,174.44000244140625,168.3699951171875,172.27000427246094,22078020
174.0500030517578,177.55999755859375,173.75999450683594,176.8000030517578,27804988
176.61000061035156,178.08999633789062,174.33999633789062,175.47000122070312,20023702
174.8000030517578,177.7100067138672,172.64999389648438,173.77000427246094,19300420
173.00999450683594,174.69000244140625,170.39999389648438,170.6199951171875,17311166
172.39999389648438,174.6999969482422,171.47000122070312,172.7100067138672,19784850
171.5500030517578,172.6999969482422,168.91000366210938,169.27000427246094,14757195
169.97000122070312,171.97999572753906,169.52999877929688,171.35000610351562,16842416
173.02000427246094,174.22000122070312,170.69000244140625,171.94000244140625,19591574
171.1999969482422,173.2899932861328,170.35000610351562,170.60000610351562,15940418
171.0,171.97000122070312,166.38999938964844,167.05999755859375,19885916
166.33999633789062,169.63999938964844,164.88999938964844,169.2899932861328,18650256
170.00999450683594,170.3300018310547,165.9600067138672,167.60000610351562,38634228
168.0,168.9600067138672,164.72000122070312,164.85000610351562,18753456
165.0,166.0,160.11000061035156,162.3000030517578,26195656
161.97000122070312,162.74000549316406,159.49000549316406,161.10000610351562,25377112
161.0,165.13999938964844,160.00999450683594,164.5500030517578,18271192
165.3699951171875,170.6699981689453,165.1999969482422,170.44000244140625,29532516
170.0,173.86000061035156,169.50999450683594,171.5,28481384
172.49000549316406,176.13999938964844,172.3300018310547,175.0,29126428
176.14999389648438,176.6999969482422,173.11000061035156,175.33999633789062,13625197
176.3699951171875,176.5500030517578,173.8699951171875,175.8800048828125,10862970
175.5,178.8300018310547,174.1199951171875,177.10000610351562,32572420
177.5,178.0399932861328,174.75,174.99000549316406,18672044
174.00999450683594,176.99000549316406,172.75999450683594,174.5399932861328,19821218
175.97999572753906,176.6300048828125,174.0399932861328,175.14999389648438,18551800
176.14999389648438,177.47999572753906,174.17999267578125,175.39999389648438,13348055
174.5800018310547,175.9199981689453,173.75,174.3000030517578,29133148
175.6199951171875,181.61000061035156,175.0399932861328,181.39999389648438,31248810
182.94000244140625,185.22000122070312,181.4499969482422,185.16000366210938,33882192
183.0,183.86000061035156,179.61000061035156,179.99000549316406,23738198
177.0,177.10000610351562,173.3000030517578,174.50999450683594,29095640
175.75,176.89999389648438,174.3000030517578,175.14999389648438,24513316
176.0,176.75,171.25,173.08999633789062,23771286
172.2100067138672,175.5,169.6699981689453,170.6999969482422,23504364
171.5,175.0500030517578,170.85000610351562,175.0,22539926
176.9499969482422,178.67999267578125,175.9600067138672,177.99000549316406,20801530
176.6999969482422,176.88999938964844,173.67999267578125,175.60000610351562,19357162
171.5,173.5,169.85000610351562,170.55999755859375,29704558
171.77000427246094,175.39999389648438,171.27000427246094,174.5,24012896
175.14999389648438,175.1699981689453,169.92999267578125,170.0,18473284
171.39999389648438,172.1999969482422,163.97999572753906,164.22999572753906,21048380
164.0,166.5,161.75,164.1999969482422,24707788
163.0,167.1999969482422,162.7100067138672,163.7899932861328,24254096
160.0399932861328,162.22999572753906,153.5,155.0,29578824
159.89999389648438,161.89999389648438,157.6199951171875,159.5,18427826
159.5,166.6999969482422,158.75999450683594,166.07000732421875,43569680
167.0,168.39999389648438,160.88999938964844,162.89999389648438,21885464
161.22999572753906,162.83999633789062,158.6300048828125,159.86000061035156,18256670
156.88999938964844,162.6699981689453,156.35000610351562,161.3800048828125,23497952
162.10000610351562,164.11000061035156,160.00999450683594,163.27999877929688,20790088
159.8000030517578,160.57000732421875,156.0,157.80999755859375,21763162
157.74000549316406,160.0,150.1199951171875,151.0500030517578,25691268
151.0500030517578,153.02999877929688,146.75,150.0,28701098
151.99000549316406,152.99000549316406,147.3300018310547,151.0,20734108
145.7100067138672,147.58999633789062,142.08999633789062,143.0,23360948
145.8000030517578,159.1999969482422,144.61000061035156,158.44000244140625,31404168
158.0,159.72000122070312,153.77000427246094,158.4600067138672,27183800
159.16000366210938,159.7100067138672,154.6999969482422,157.8800048828125,24139460
157.5,160.39999389648438,156.61000061035156,159.83999633789062,12635823
158.1999969482422,160.30999755859375,154.38999938964844,159.25999450683594,20164230
157.2100067138672,164.6999969482422,156.61000061035156,163.8000030517578,26668552
166.5,168.19000244140625,164.67999267578125,164.97999572753906,23657056
166.10000610351562,167.91000366210938,161.10000610351562,163.0,25552868
158.14999389648438,161.41000366210938,157.5500030517578,160.58999633789062,22321318
161.49000549316406,163.47000122070312,157.00999450683594,157.3699951171875,23553176
159.0,160.60000610351562,157.52999877929688,158.1999969482422,19425304
159.1999969482422,159.1999969482422,155.75,157.7899932861328,24895070
158.8000030517578,158.85000610351562,154.89999389648438,156.44000244140625,16148327
157.1999969482422,159.77999877929688,156.27999877929688,159.7100067138672,16070353
161.0,161.1999969482422,157.3000030517578,158.8000030517578,16344965
